ENSECAT00000013004.1	SYCE1
ENSECAT00000025707.1	VAX1
ENSECAT00000007590.1	SHTN1
ENSECAT00000013835.1	ENO4
ENSECAT00000017313.1	HSPA12A
ENSECAT00000000603.1	C10orf82
ENSECAT00000008562.1	PNLIPRP2
ENSECAT00000017740.1	PNLIPRP1
ENSECAT00000010231.1	PNLIP
ENSECAT00000026735.1	PNLIPRP3
ENSECAT00000026775.1	CCDC172
ENSECAT00000006910.1	GFRA1
ENSECAT00000010486.1	ATRNL1
ENSECAT00000007300.1	TRUB1
ENSECAT00000007333.1	TRUB1
ENSECAT00000012003.1	FAM160B1
ENSECAT00000012015.1	FAM160B1
ENSECAT00000026330.1	ABLIM1
ENSECAT00000026331.1	ABLIM1
ENSECAT00000026341.1	ABLIM1
ENSECAT00000015880.1	AFAP1L2
ENSECAT00000000432.1	VWA2
ENSECAT00000010570.1	TDRD1
ENSECAT00000011092.1	CCDC186
ENSECAT00000029456.1	U6
ENSECAT00000019984.1	NHLRC2
ENSECAT00000011118.1	DCLRE1A
ENSECAT00000016168.1	PLEKHS1
ENSECAT00000029124.1	PLEKHS1
ENSECAT00000016961.1	CASP7
ENSECAT00000023245.1	NRAP
ENSECAT00000024517.1	HABP2
ENSECAT00000025956.1	TCF7L2
ENSECAT00000013431.1	VTI1A
ENSECAT00000014008.1	ZDHHC6
ENSECAT00000024258.1	ACSL5
ENSECAT00000010090.1	TECTB
ENSECAT00000015938.1	GPAM
ENSECAT00000029704.1	SNORD112
ENSECAT00000003783.1	ADRA2A
ENSECAT00000013173.1	SHOC2
ENSECAT00000022245.1	PDCD4
ENSECAT00000022941.1	RBM20
ENSECAT00000029762.1	7SK
ENSECAT00000024551.1	SMC3
ENSECAT00000014061.1	DUSP5
ENSECAT00000015130.1	ADD3
ENSECAT00000029498.1	U6
ENSECAT00000024546.1	XPNPEP1
ENSECAT00000028388.1	7SK
ENSECAT00000024672.1	SORCS1
ENSECAT00000028750.1	U6
ENSECAT00000008738.1	SORCS3
ENSECAT00000020588.1	CFAP58
ENSECAT00000010338.1	ITPRIP
ENSECAT00000010423.1	GSTO2
ENSECAT00000012039.1	GSTO1
ENSECAT00000005399.1	SFR1
ENSECAT00000005447.1	SFR1
ENSECAT00000008760.1	COL17A1
ENSECAT00000008799.1	COL17A1
ENSECAT00000008804.1	COL17A1
ENSECAT00000011061.1	SLK
ENSECAT00000025256.1	OBFC1
ENSECAT00000025280.1	OBFC1
ENSECAT00000009816.1	SH3PXD2A
ENSECAT00000013585.1	NEURL1
ENSECAT00000013643.1	NEURL1
ENSECAT00000021050.1	CALHM3
ENSECAT00000021715.1	CALHM1
ENSECAT00000021726.1	CALHM2
ENSECAT00000022542.1	PDCD11
ENSECAT00000022604.1	PDCD11
ENSECAT00000027615.1	eca-mir-1307
ENSECAT00000006298.1	TAF5
ENSECAT00000006415.1	TAF5
ENSECAT00000018246.1	PCGF6
ENSECAT00000022489.1	INA
ENSECAT00000024433.1	NT5C2
ENSECAT00000019200.1	CNNM2
ENSECAT00000020180.1	AS3MT
ENSECAT00000011028.1	CYP17A1
ENSECAT00000025914.1	WBP1L
ENSECAT00000026036.1	SFXN2
ENSECAT00000000374.1	ARL3
ENSECAT00000017754.1	TRIM8
ENSECAT00000021062.1	SUFU
ENSECAT00000026471.1	ACTR1A
ENSECAT00000015514.1	TMEM180
ENSECAT00000027616.1	eca-mir-146b
ENSECAT00000019449.1	CUEDC2
ENSECAT00000000522.1	FBXL15
ENSECAT00000007691.1	PSD
ENSECAT00000021368.1	NFKB2
ENSECAT00000025807.1	GBF1
ENSECAT00000023815.1	PITX3
ENSECAT00000025282.1	ELOVL3
ENSECAT00000026677.1	NOLC1
ENSECAT00000009748.1	PPRC1
ENSECAT00000013736.1	LDB1
ENSECAT00000029480.1	SNORD112
ENSECAT00000004498.1	HPS6
ENSECAT00000021996.1	C10orf76
ENSECAT00000010599.1	KCNIP2
ENSECAT00000010709.1	KCNIP2
ENSECAT00000020029.1	MGEA5
ENSECAT00000007601.1	NPM3
ENSECAT00000010671.1	FGF8
ENSECAT00000021901.1	FBXW4
ENSECAT00000010230.1	DPCD
ENSECAT00000016223.1	POLL
ENSECAT00000024676.1	BTRC
ENSECAT00000027652.1	U6
ENSECAT00000011561.1	LBX1
ENSECAT00000013857.1	TLX1
ENSECAT00000014217.1	KAZALD1
ENSECAT00000020787.1	SFXN3
ENSECAT00000012616.1	PDZD7
ENSECAT00000013917.1	LZTS2
ENSECAT00000018793.1	C10orf2
ENSECAT00000021363.1	MRPL43
ENSECAT00000024179.1	SEMA4G
ENSECAT00000011855.1	FAM178A
ENSECAT00000022725.1	PAX2
ENSECAT00000009355.1	HIF1AN
ENSECAT00000018449.1	SEC31B
ENSECAT00000009882.1	WNT8B
ENSECAT00000015611.1	SCD
ENSECAT00000025466.1	PKD2L1
ENSECAT00000014026.1	BLOC1S2
ENSECAT00000017471.1	CWF19L1
ENSECAT00000028540.1	SNORA12
ENSECAT00000007996.1	CHUK
ENSECAT00000019497.1	ERLIN1
ENSECAT00000025993.1	CPN1
ENSECAT00000011272.1	DNMBP
ENSECAT00000007184.1	CUTC
ENSECAT00000014816.1	COX15
ENSECAT00000021761.1	ENTPD7
ENSECAT00000009644.1	SLC25A28
ENSECAT00000000074.1	NKX2-3
ENSECAT00000000188.1	GOT1
ENSECAT00000000251.1	CNNM1
ENSECAT00000000292.1	HPSE2
ENSECAT00000027871.1	SNORA25
ENSECAT00000003219.1	HPS
ENSECAT00000003497.1	HPS
ENSECAT00000003511.1	HPS
ENSECAT00000005449.1	PYROXD2
ENSECAT00000006621.1	LOXL4
ENSECAT00000007054.1	R3HCC1L
ENSECAT00000007808.1	CRTAC1
ENSECAT00000008102.1	GOLGA7B
ENSECAT00000029035.1	SFRP5
ENSECAT00000008350.1	ZFYVE27
ENSECAT00000008381.1	AVPI1
ENSECAT00000008675.1	PI4K2A
ENSECAT00000008868.1	MORN4
ENSECAT00000009027.1	HOGA1
ENSECAT00000009274.1	ANKRD2
ENSECAT00000009383.1	UBTD1
ENSECAT00000010246.1	MMS19
ENSECAT00000010382.1	MMS19
ENSECAT00000010467.1	MMS19
ENSECAT00000010498.1	MMS19
ENSECAT00000010500.1	MMS19
ENSECAT00000010893.1	ZDHHC16
ENSECAT00000011077.1	EXOSC1
ENSECAT00000011185.1	PGAM1
ENSECAT00000012119.1	RRP12
ENSECAT00000013843.1	SLIT1
ENSECAT00000013853.1	SLIT1
ENSECAT00000013942.1	SLIT1
ENSECAT00000014029.1	C10orf12
ENSECAT00000014109.1	LCOR
ENSECAT00000014285.1	PIK3AP1
ENSECAT00000014716.1	TM9SF3
ENSECAT00000015970.1	TLL2
ENSECAT00000016010.1	OPALIN
ENSECAT00000016457.1	DNTT
ENSECAT00000016724.1	BLNK
ENSECAT00000016733.1	BLNK
ENSECAT00000016852.1	CCNJ
ENSECAT00000017307.1	ENTPD1
ENSECAT00000017357.1	ENTPD1
ENSECAT00000017548.1	TCTN3
ENSECAT00000017557.1	TCTN3
ENSECAT00000018393.1	ALDH18A1
ENSECAT00000020722.1	SORBS1
ENSECAT00000020734.1	SORBS1
ENSECAT00000020754.1	SORBS1
ENSECAT00000020760.1	SORBS1
ENSECAT00000022293.1	PDLIM1
ENSECAT00000020327.1	HELLS
ENSECAT00000028321.1	7SK
ENSECAT00000022880.1	TBC1D12
ENSECAT00000022899.1	TBC1D12
ENSECAT00000023542.1	NOC3L
ENSECAT00000024720.1	PLCE1
ENSECAT00000026468.1	SLC35G1
ENSECAT00000026529.1	LGI1
ENSECAT00000000052.1	FRA10AC1-1
ENSECAT00000008880.1	PDE6C
ENSECAT00000017220.1	RBP4
ENSECAT00000019463.1	FFAR4
ENSECAT00000019596.1	CEP55
ENSECAT00000020082.1	FER1L3
ENSECAT00000023903.1	CYP26A1
ENSECAT00000025432.1	CYP26C1
ENSECAT00000025821.1	EXOC6
ENSECAT00000005150.1	HHEX
ENSECAT00000007114.1	KIF11
ENSECAT00000011595.1	IDE
ENSECAT00000000029.1	MARCH5
ENSECAT00000000091.1	CPEB3
ENSECAT00000028082.1	CPEB3_ribozyme
ENSECAT00000008490.1	BTAF1
ENSECAT00000004154.1	FGFBP3
ENSECAT00000013328.1	TNKS2
ENSECAT00000014289.1	PPP1R3C
ENSECAT00000014653.1	HECTD2
ENSECAT00000017042.1	MGC16202
ENSECAT00000018136.1	ANKRD1
ENSECAT00000023581.1	RPP30
ENSECAT00000024586.1	HTR7
ENSECAT00000025130.1	KIF20B
ENSECAT00000025136.1	KIF20B
ENSECAT00000008322.1	PANK1
ENSECAT00000028227.1	eca-mir-107b
ENSECAT00000009820.1	SLC16A12
ENSECAT00000004262.1	IFIT5
ENSECAT00000004408.1	IFIT1
ENSECAT00000010390.1	IFIT4
ENSECAT00000011488.1	LIPA
ENSECAT00000004474.1	CH25H
ENSECAT00000014464.1	FAS
ENSECAT00000014505.1	FAS
ENSECAT00000016072.1	ACTA2
ENSECAT00000020587.1	STAMBPL1
ENSECAT00000023736.1	ANKRD22
ENSECAT00000024102.1	LIPM
ENSECAT00000006452.1	LIPN
ENSECAT00000007415.1	LIPK
ENSECAT00000015158.1	LIPJ
ENSECAT00000016247.1	RNLS
ENSECAT00000018144.1	PTEN
ENSECAT00000000558.1	ATAD1
ENSECAT00000009126.1	PAPSS2
ENSECAT00000027206.1	U6atac
ENSECAT00000013532.1	MINPP1
ENSECAT00000000156.1	SGMS1
ENSECAT00000010923.1	A1CF
ENSECAT00000004575.1	CSTF2T
ENSECAT00000014665.1	PRKG1
ENSECAT00000018851.1	DKK1
ENSECAT00000019396.1	MBL2
ENSECAT00000020785.1	PCDH15
ENSECAT00000000583.1	ZWINT
ENSECAT00000008137.1	IPMK
ENSECAT00000009066.1	CISD1
ENSECAT00000009589.1	UBE2D1
ENSECAT00000010017.1	TFAM
ENSECAT00000014902.1	BICC1
ENSECAT00000029637.1	7SK
ENSECAT00000020866.1	PHYHIPL
ENSECAT00000000067.1	FAM13C
ENSECAT00000027930.1	U6
ENSECAT00000000977.1	SLC16A9
ENSECAT00000006560.1	CCDC6
ENSECAT00000012209.1	ANK3
ENSECAT00000012216.1	ANK3
ENSECAT00000010159.1	CDK1
ENSECAT00000012319.1	RHOBTB1
ENSECAT00000018835.1	TMEM26
ENSECAT00000019841.1	C10orf107
ENSECAT00000021091.1	ARID5B
ENSECAT00000000314.1	RTKN2
ENSECAT00000000325.1	RTKN2
ENSECAT00000010493.1	ZNF365
ENSECAT00000029754.1	7SK
ENSECAT00000011152.1	EGR2
ENSECAT00000029763.1	U6
ENSECAT00000011403.1	NRBF2
ENSECAT00000013768.1	JMJD1C
ENSECAT00000027661.1	eca-mir-1296
ENSECAT00000020914.1	REEP3
ENSECAT00000027377.1	U6
ENSECAT00000002248.1	LRRTM3
ENSECAT00000010636.1	CTNNA3
ENSECAT00000010882.1	DNAJC12
ENSECAT00000014702.1	SIRT1
ENSECAT00000017229.1	HERC4
ENSECAT00000017233.1	HERC4
ENSECAT00000016087.1	MYPN
ENSECAT00000000139.1	PBLD
ENSECAT00000007308.1	HNRNPH3
ENSECAT00000011962.1	RUFY2
ENSECAT00000023831.1	DNA2L
ENSECAT00000023857.1	DNA2L
ENSECAT00000023897.1	DNA2L
ENSECAT00000010621.1	SLC25A16
ENSECAT00000016249.1	TET1
ENSECAT00000027267.1	SNORA11
ENSECAT00000017725.1	CCAR1
ENSECAT00000028143.1	SNORD98
ENSECAT00000028716.1	U6
ENSECAT00000023761.1	STOX1
ENSECAT00000024827.1	DDX50
ENSECAT00000011504.1	DDX21
ENSECAT00000000433.1	KIF1BP
ENSECAT00000009345.1	SRGN
ENSECAT00000017430.1	SUPV3L1
ENSECAT00000005027.1	HKDC1
ENSECAT00000012040.1	HK1
ENSECAT00000008884.1	TACR2
ENSECAT00000014167.1	TSPAN15
ENSECAT00000019125.1	C10orf35
ENSECAT00000019794.1	COL13A1
ENSECAT00000019800.1	COL13A1
ENSECAT00000020715.1	H2AFY2
ENSECAT00000004866.1	AIFM2
ENSECAT00000009373.1	TYSND1
ENSECAT00000010274.1	SAR1A
ENSECAT00000020025.1	PPA1
ENSECAT00000010879.1	NPFFR1
ENSECAT00000016171.1	LRRC20
ENSECAT00000016950.1	EIF4EBP2
ENSECAT00000017974.1	NODAL
ENSECAT00000021138.1	PALD1
ENSECAT00000012941.1	PRF1
ENSECAT00000016035.1	ADAMTS14
ENSECAT00000015415.1	TBATA
ENSECAT00000015450.1	TBATA
ENSECAT00000018009.1	SGPL1
ENSECAT00000009876.1	PCBD1
ENSECAT00000011150.1	UNC5B
ENSECAT00000011189.1	UNC5B
ENSECAT00000022271.1	SLC29A3
ENSECAT00000026164.1	CDH23
ENSECAT00000026167.1	CDH23
ENSECAT00000026182.1	CDH23
ENSECAT00000026185.1	CDH23
ENSECAT00000019253.1	C10orf54
ENSECAT00000023432.1	PSAP
ENSECAT00000008077.1	CHST3
ENSECAT00000009684.1	SPOCK2
ENSECAT00000018296.1	ASCC1
ENSECAT00000002783.1	ANAPC16
ENSECAT00000004086.1	DDIT4
ENSECAT00000011101.1	DNAJB12
ENSECAT00000018865.1	MICU1
ENSECAT00000018871.1	MICU1
ENSECAT00000027494.1	5S_rRNA
ENSECAT00000028106.1	U2
ENSECAT00000006365.1	MCU
ENSECAT00000009204.1	OIT3
ENSECAT00000010611.1	PLA2G12B
ENSECAT00000013754.1	P4HA1
ENSECAT00000013813.1	P4HA1
ENSECAT00000021931.1	NUDT13
ENSECAT00000024386.1	ECD
ENSECAT00000000019.1	FAM149B1
ENSECAT00000004930.1	DNAJC9
ENSECAT00000009340.1	MRPS16
ENSECAT00000010630.1	CFAP70
ENSECAT00000014447.1	ANXA7
ENSECAT00000007804.1	MSS51
ENSECAT00000009125.1	PPP3CB
ENSECAT00000013867.1	USP54
ENSECAT00000017694.1	MYOZ1
ENSECAT00000021814.1	SYNPO2L
ENSECAT00000023302.1	SEC24C
ENSECAT00000006305.1	FUT11
ENSECAT00000006833.1	CHCHD1
ENSECAT00000007868.1	ZSWIM8
ENSECAT00000007997.1	ZSWIM8
ENSECAT00000008058.1	ZSWIM8
ENSECAT00000001588.1	CAMK2G
ENSECAT00000007708.1	PLAU
ENSECAT00000014550.1	VCL
ENSECAT00000014556.1	VCL
ENSECAT00000014559.1	VCL
ENSECAT00000008162.1	AP3M1
ENSECAT00000008278.1	ADK
ENSECAT00000013103.1	KAT6B
ENSECAT00000013157.1	KAT6B
ENSECAT00000022108.1	DUPD1
ENSECAT00000000110.1	DUSP13
ENSECAT00000006180.1	SAMD8
ENSECAT00000012999.1	COMTD1
ENSECAT00000016283.1	VDAC2
ENSECAT00000009650.1	ZNF503
ENSECAT00000010910.1	C10orf11
ENSECAT00000028108.1	U6
ENSECAT00000013032.1	KCNMA1
ENSECAT00000013041.1	KCNMA1
ENSECAT00000013047.1	KCNMA1
ENSECAT00000013086.1	KCNMA1
ENSECAT00000013094.1	KCNMA1
ENSECAT00000013140.1	KCNMA1
ENSECAT00000013232.1	KCNMA1
ENSECAT00000014492.1	DLG5
ENSECAT00000014496.1	DLG5
ENSECAT00000021108.1	POLR3A
ENSECAT00000017860.1	RPS24
ENSECAT00000023241.1	ZMIZ1
ENSECAT00000009285.1	PPIF
ENSECAT00000018760.1	ZCCHC24
ENSECAT00000021182.1	ANXA11
ENSECAT00000011851.1	PLAC9
ENSECAT00000014245.1	TMEM254
ENSECAT00000016618.1	AGT
ENSECAT00000010848.1	COG2
ENSECAT00000010965.1	COG2
ENSECAT00000006239.1	PGBD5
ENSECAT00000008960.1	GALNT2
ENSECAT00000012864.1	URB2
ENSECAT00000017240.1	TAF5L
ENSECAT00000018939.1	ABCB10
ENSECAT00000022589.1	NUP133
ENSECAT00000000176.1	ACTA1
ENSECAT00000005061.1	CCSAP
ENSECAT00000005161.1	RAB4A
ENSECAT00000007674.1	RHOU
ENSECAT00000028708.1	5S_rRNA
ENSECAT00000002966.1	ZNF22
ENSECAT00000007318.1	RASSF4
ENSECAT00000002986.1	C10orf10
ENSECAT00000017364.1	TMEM72
ENSECAT00000020765.1	CXCL12
ENSECAT00000025353.1	ZNF32
ENSECAT00000003038.1	ZNF239
ENSECAT00000003119.1	HNRNPF
ENSECAT00000026552.1	RASGEF1A
ENSECAT00000017017.1	CSGALNACT2
ENSECAT00000004122.1	RET
ENSECAT00000004160.1	BMS1
ENSECAT00000008689.1	ZNF248
ENSECAT00000024045.1	ZNF25
ENSECAT00000010538.1	CHRM3
ENSECAT00000011453.1	ZP4
ENSECAT00000000088.1	RYR2
ENSECAT00000029145.1	RYR2
ENSECAT00000009674.1	RYR2
ENSECAT00000009665.1	RYR2
ENSECAT00000009649.1	RYR2
ENSECAT00000009645.1	RYR2
ENSECAT00000023851.1	MTR
ENSECAT00000023943.1	MTR
ENSECAT00000028264.1	Y_RNA
ENSECAT00000011002.1	ACTN2
ENSECAT00000023505.1	HEATR1
ENSECAT00000016253.1	LGALS8
ENSECAT00000028636.1	U4
ENSECAT00000008015.1	EDARADD
ENSECAT00000009430.1	ERO1LB
ENSECAT00000021144.1	GPR137B
ENSECAT00000017772.1	NID1
ENSECAT00000008004.1	LYST
ENSECAT00000008047.1	LYST
ENSECAT00000003107.1	FTL
ENSECAT00000012612.1	GNG4
ENSECAT00000014100.1	B3GALNT2
ENSECAT00000020205.1	TBCE
ENSECAT00000018777.1	GGPS1
ENSECAT00000019320.1	ARID4B
ENSECAT00000019325.1	ARID4B
ENSECAT00000014013.1	RBM34
ENSECAT00000020937.1	TOMM20
ENSECAT00000028624.1	SNORA14
ENSECAT00000025106.1	IRF2BP2
ENSECAT00000027526.1	7SK
ENSECAT00000025393.1	TARBP1
ENSECAT00000007231.1	COA6
ENSECAT00000007303.1	SLC35F3
ENSECAT00000009468.1	KCNK1
ENSECAT00000025059.1	NTPCR
ENSECAT00000007772.1	MAP10
ENSECAT00000029461.1	U6
ENSECAT00000029310.1	U4atac
ENSECAT00000008661.1	SIPA1L2
ENSECAT00000028489.1	SNORA25
ENSECAT00000001857.1	DISC1
ENSECAT00000023145.1	EGLN1
ENSECAT00000025671.1	SPRTN
ENSECAT00000003253.1	EXOC8
ENSECAT00000007086.1	GNPAT
ENSECAT00000026756.1	C1orf131
ENSECAT00000026757.1	C1orf131
ENSECAT00000007559.1	TRIM67
ENSECAT00000017306.1	FAM89A
ENSECAT00000017385.1	ARV1
ENSECAT00000020889.1	TTC13
ENSECAT00000020934.1	TTC13
ENSECAT00000013626.1	C1orf198
ENSECAT00000016699.1	CAPN9
ENSECAT00000028382.1	5S_rRNA
ENSECAT00000013785.1	ALOX5
ENSECAT00000002899.1	MARCH8
ENSECAT00000007871.1	ZFAND4
ENSECAT00000023849.1	MSMB
ENSECAT00000006673.1	NCOA4
ENSECAT00000027628.1	SNORA74
ENSECAT00000023662.1	PARG
ENSECAT00000006659.1	OGDHL
ENSECAT00000022669.1	C10orf53
ENSECAT00000023319.1	CHAT
ENSECAT00000003892.1	SLC18A3
ENSECAT00000014986.1	ERCC6
ENSECAT00000024616.1	DRGX
ENSECAT00000025810.1	FAM170B
ENSECAT00000025981.1	VSTM4
ENSECAT00000004020.1	LRRC18
ENSECAT00000024990.1	ARHGAP22
ENSECAT00000025046.1	ARHGAP22
ENSECAT00000008865.1	MAPK8
ENSECAT00000023105.1	FRMPD2
ENSECAT00000007546.1	PTPN20
ENSECAT00000009917.1	GDF10
ENSECAT00000013073.1	GDF2
ENSECAT00000014572.1	RBP3
ENSECAT00000004053.1	ZNF488
ENSECAT00000018380.1	ANTXRL
ENSECAT00000004220.1	NPY4R
ENSECAT00000004249.1	GPRIN2
ENSECAT00000002010.1	FAM35A
ENSECAT00000028965.1	WAPAL
ENSECAT00000017845.1	WAPAL
ENSECAT00000013892.1	SNCG
ENSECAT00000018848.1	MMRN2
ENSECAT00000021993.1	BMPR1A
ENSECAT00000029550.1	U3
ENSECAT00000026469.1	LDB3
ENSECAT00000011395.1	OPN4
ENSECAT00000029043.1	GRID1
ENSECAT00000004289.1	GRID1
ENSECAT00000022948.1	GRID1
ENSECAT00000028266.1	eca-mir-346
ENSECAT00000014974.1	CCSER2
ENSECAT00000020375.1	RGR
ENSECAT00000003261.1	LRIT1
ENSECAT00000009235.1	LRIT2
ENSECAT00000009941.1	CDHR1
ENSECAT00000020183.1	GHITM
ENSECAT00000022020.1	NRG3
ENSECAT00000004330.1	SH2D4B
ENSECAT00000009397.1	FAM213A
ENSECAT00000016534.1	DYDC2
ENSECAT00000018568.1	MAT1A
ENSECAT00000019996.1	SFTPA1
ENSECAT00000007078.1	SFTPD
ENSECAT00000017573.1	EFTUD1
ENSECAT00000014024.1	MEX3B
ENSECAT00000029192.1	eca-mir-1905a
ENSECAT00000016300.1	TMC3
ENSECAT00000023260.1	STARD5
ENSECAT00000024507.1	IL16
ENSECAT00000014821.1	C15orf26
ENSECAT00000003900.1	MESDC1
ENSECAT00000019428.1	MESDC2
ENSECAT00000020221.1	CEMIP
ENSECAT00000016368.1	ABHD17C
ENSECAT00000017189.1	ARNT2
ENSECAT00000017193.1	ARNT2
ENSECAT00000004276.1	OR4S2
ENSECAT00000028469.1	SNORA18
ENSECAT00000010564.1	ADAMTSL3
ENSECAT00000012619.1	SH3GL3
ENSECAT00000018368.1	BNC1
ENSECAT00000004676.1	TM6SF1
ENSECAT00000018146.1	BTBD1
ENSECAT00000023973.1	C1H15ORF40
ENSECAT00000024942.1	FAM103A1
ENSECAT00000025484.1	HOMER2
ENSECAT00000016577.1	WHAMM
ENSECAT00000018049.1	FSD2
ENSECAT00000029205.1	SCARNA15
ENSECAT00000021455.1	AP3B2
ENSECAT00000018027.1	CPEB1
ENSECAT00000018072.1	CPEB1
ENSECAT00000008147.1	PDE8A
ENSECAT00000008520.1	SLC28A1
ENSECAT00000015962.1	ALPK3
ENSECAT00000017234.1	ZNF592
ENSECAT00000022627.1	SEC11A
ENSECAT00000008059.1	NMB
ENSECAT00000008403.1	WDR73
ENSECAT00000023960.1	ZSCAN2
ENSECAT00000025555.1	ZNF774
ENSECAT00000026049.1	IQGAP1
ENSECAT00000026385.1	CRTC3
ENSECAT00000011946.1	BLM
ENSECAT00000021500.1	FURIN
ENSECAT00000002688.1	FES
ENSECAT00000002952.1	FES
ENSECAT00000003005.1	FES
ENSECAT00000020561.1	MAN2A2
ENSECAT00000018151.1	HDDC3
ENSECAT00000020486.1	UNC45A
ENSECAT00000018872.1	RCCD1
ENSECAT00000019233.1	PRC1
ENSECAT00000027032.1	VPS33B
ENSECAT00000013171.1	NGRN
ENSECAT00000004378.1	GDPGP1
ENSECAT00000019452.1	CIB1
ENSECAT00000024410.1	SEMA4B
ENSECAT00000007574.1	IDH2
ENSECAT00000024685.1	ZNF710
ENSECAT00000025885.1	AP3S2
ENSECAT00000010322.1	ANPEP
ENSECAT00000005016.1	WDR93
ENSECAT00000005080.1	WDR93
ENSECAT00000010345.1	PEX11A
ENSECAT00000013874.1	PLIN1
ENSECAT00000022943.1	TICRR
ENSECAT00000027810.1	U6
ENSECAT00000009230.1	RHCG
ENSECAT00000008471.1	POLG
ENSECAT00000006043.1	FANCI
ENSECAT00000027722.1	U6
ENSECAT00000003190.1	RLBP1
ENSECAT00000012062.1	ABHD2
ENSECAT00000020285.1	MFGE8
ENSECAT00000000640.1	HAPLN3
ENSECAT00000007976.1	ACAN
ENSECAT00000020687.1	ISG20
ENSECAT00000021485.1	AEN
ENSECAT00000028209.1	eca-mir-1179
ENSECAT00000022645.1	DET1
ENSECAT00000007323.1	MRPS11
ENSECAT00000007778.1	MRPL46
ENSECAT00000013452.1	NTRK3
ENSECAT00000013458.1	NTRK3
ENSECAT00000007402.1	AGBL1
ENSECAT00000009990.1	AKAP13
ENSECAT00000028921.1	AKAP13
ENSECAT00000014176.1	AKAP13
ENSECAT00000016767.1	SV2B
ENSECAT00000014192.1	SLCO3A1
ENSECAT00000023051.1	ST8SIA2
ENSECAT00000025596.1	CHD2
ENSECAT00000021445.1	RGMA
ENSECAT00000024451.1	MCTP2
ENSECAT00000029572.1	SNORA31
ENSECAT00000008488.1	NR2F2
ENSECAT00000008512.1	NR2F2
ENSECAT00000009864.1	ARRDC4
ENSECAT00000018979.1	FAM169B
ENSECAT00000019127.1	PGPEP1L
